,TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
0,2023-08-06T15:22:14Z,32.94,46.49,33,41,32.66,101.73,9.0,464.0,0.0,0.0,0.0
1,2023-08-06T15:23:14Z,32.63,45.06,35,10,43.05,101.73,0.0,400.0,,,
2,2023-08-06T15:24:14Z,32.0,46.04,35,54,59.78,101.75,0.0,400.0,,,
3,2023-08-06T15:25:14Z,31.62,46.62,36,3,42.37,101.76,2.0,415.0,,,
4,2023-08-06T15:26:14Z,31.11,47.09,35,6,48.46,101.76,1.0,410.0,,,
5,2023-08-06T15:27:14Z,30.53,47.8,36,7,65.18,101.75,6.0,444.0,0.0,0.0,0.0
6,2023-08-06T15:28:14Z,30.02,48.51,36,7,27.28,101.75,6.0,442.0,,,
7,2023-08-06T15:29:14Z,29.61,49.04,36,7,28.99,101.74,15.0,500.0,,,
8,2023-08-06T15:30:14Z,29.27,49.53,36,8,28.84,101.74,22.0,546.0,,,
9,2023-08-06T15:31:14Z,28.95,49.91,36,6,30.78,101.74,22.0,545.0,,,
10,2023-08-06T15:32:14Z,28.65,50.29,36,5,35.52,101.74,21.0,543.0,1.0,1.0,1.0
11,2023-08-06T15:33:14Z,28.39,50.63,36,8,31.21,101.74,27.0,580.0,,,
12,2023-08-06T15:34:14Z,28.15,50.89,36,8,36.73,101.73,26.0,574.0,,,
13,2023-08-06T15:35:14Z,27.95,51.12,36,7,24.27,101.72,28.0,588.0,,,
14,2023-08-06T15:36:14Z,27.73,51.39,36,8,30.45,101.71,27.0,580.0,,,
15,2023-08-06T15:37:14Z,27.51,51.67,36,5,25.03,101.72,30.0,600.0,0.0,0.0,0.0
16,2023-08-06T15:38:14Z,27.36,52.08,36,8,26.73,101.72,29.0,592.0,,,
17,2023-08-06T15:39:14Z,27.16,52.33,36,7,29.62,101.72,29.0,591.0,,,
18,2023-08-06T15:40:14Z,27.0,52.55,36,8,27.24,101.72,37.0,646.0,,,
19,2023-08-06T15:41:14Z,26.86,52.81,36,6,27.55,101.72,37.0,643.0,,,
20,2023-08-06T15:42:14Z,26.71,53.07,36,7,27.53,101.72,36.0,637.0,0.0,0.0,0.0
